Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
351,train_9x9_0128,9,500,-13.24,0,-0.0693
352,train_9x9_0013,9,500,-13.09,0,-0.0693
353,train_9x9_0431,9,500,-14.64,0,-0.0693
354,train_9x9_0076,9,197,-3.84,1,-0.0693
355,train_9x9_0174,9,187,-2.97,1,-0.0693
356,train_9x9_0299,9,183,-2.76,1,-0.0693
357,train_9x9_0110,9,76,0.17,1,-0.0693
358,train_9x9_0443,9,163,-1.79,1,-0.0693
359,train_9x9_0324,9,500,-13.79,0,-0.0693
360,train_9x9_0095,9,398,-8.87,1,-0.0693
361,train_9x9_0308,9,386,-8.98,1,-0.0693
362,train_9x9_0477,9,183,-3.98,1,-0.0693
363,train_9x9_0378,9,500,-14.25,0,-0.0693
364,train_9x9_0023,9,65,0.33,1,-0.0693
365,train_9x9_0183,9,500,-13.26,0,-0.0693
366,train_9x9_0232,9,500,-13.68,0,-0.0693
367,train_9x9_0357,9,68,0.19,1,-0.0693
368,train_9x9_0423,9,500,-13.02,0,-0.0693
369,train_9x9_0104,9,254,-5.04,1,-0.0693
370,train_9x9_0236,9,208,-3.59,1,-0.0693
371,train_9x9_0119,9,125,-0.59,1,-0.0693
372,train_9x9_0293,9,428,-10.56,1,-0.0693
373,train_9x9_0382,9,500,-13.9,0,-0.0693
374,train_9x9_0021,9,500,-14.25,0,-0.0693
375,train_9x9_0459,9,62,0.45,1,-0.0693
376,train_9x9_0072,9,500,-14.38,0,-0.0693
377,train_9x9_0488,9,338,-7.52,1,-0.0693
378,train_9x9_0057,9,386,-8.48,1,-0.0693
379,train_9x9_0091,9,500,-13.74,0,-0.0693
380,train_9x9_0262,9,264,-5.25,1,-0.0693
381,train_9x9_0218,9,500,-13.14,0,-0.0693
382,train_9x9_0116,9,500,-13.41,0,-0.0693
383,train_9x9_0249,9,79,-0.02,1,-0.0693
384,train_9x9_0108,9,500,-13.15,0,-0.0693
385,train_9x9_0100,9,500,-13.54,0,-0.0693
386,train_9x9_0256,9,305,-6.09,1,-0.0693
387,train_9x9_0035,9,500,-14.23,0,-0.0693
388,train_9x9_0022,9,500,-13.72,0,-0.0693
389,train_9x9_0272,9,500,-14.17,0,-0.0693
390,train_9x9_0326,9,500,-13.69,0,-0.0693
391,train_9x9_0060,9,500,-13.37,0,-0.0693
392,train_9x9_0407,9,500,-13.43,0,-0.0693
393,train_9x9_0135,9,465,-10.58,1,-0.0693
394,train_9x9_0244,9,223,-3.88,1,-0.0693
395,train_9x9_0019,9,500,-12.81,0,-0.0693
396,train_9x9_0460,9,402,-8.9,1,-0.0693
397,train_9x9_0484,9,241,-4.69,1,-0.0693
398,train_9x9_0237,9,469,-10.66,1,-0.0693
399,train_9x9_0078,9,8,1.76,1,-0.0693
400,train_9x9_0322,9,373,-8.41,1,-0.0693
401,train_9x9_0282,9,500,-13.4,0,-0.0693
402,train_9x9_0105,9,456,-11.12,1,-0.0693
403,train_9x9_0399,9,127,-1.19,1,-0.0693
404,train_9x9_0411,9,500,-13.42,0,-0.0693
405,train_9x9_0469,9,115,-0.83,1,-0.0693
406,train_9x9_0385,9,500,-13.42,0,-0.0693
407,train_9x9_0239,9,500,-13.04,0,-0.0693
408,train_9x9_0092,9,35,0.99,1,-0.0693
409,train_9x9_0247,9,500,-14.09,0,-0.0693
410,train_9x9_0471,9,500,-14.67,0,-0.0693
411,train_9x9_0345,9,500,-14.01,0,-0.0693
412,train_9x9_0070,9,125,-1.17,1,-0.0693
413,train_9x9_0332,9,500,-12.75,0,-0.0693
414,train_9x9_0430,9,10,1.86,1,-0.0693
415,train_9x9_0297,9,61,0.64,1,-0.0693
416,train_9x9_0406,9,166,-2.03,1,-0.0693
417,train_9x9_0076,9,500,-14.52,0,-0.0693
418,train_9x9_0354,9,500,-12.44,0,-0.0693
419,train_9x9_0272,9,500,-12.98,0,-0.0693
420,train_9x9_0361,9,500,-13.98,0,-0.0693
421,train_9x9_0458,9,500,-13.66,0,-0.0693
422,train_9x9_0127,9,500,-12.83,0,-0.0693
423,train_9x9_0241,9,64,0.27,1,-0.0693
424,train_9x9_0181,9,19,1.55,1,-0.0693
425,train_9x9_0302,9,500,-13.94,0,-0.0693
426,train_9x9_0301,9,500,-13.83,0,-0.0693
427,train_9x9_0267,9,500,-12.71,0,-0.0693
428,train_9x9_0272,9,500,-12.97,0,-0.0693
429,train_9x9_0411,9,296,-6.11,1,-0.0693
430,train_9x9_0247,9,116,-1.29,1,-0.0693
431,train_9x9_0303,9,500,-13.47,0,-0.0693
432,train_9x9_0341,9,410,-8.77,1,-0.0693
433,train_9x9_0338,9,500,-12.89,0,-0.0693
434,train_9x9_0000,9,500,-14.62,0,-0.0693
435,train_9x9_0113,9,178,-2.97,1,-0.0693
436,train_9x9_0061,9,500,-13.1,0,-0.0693
437,train_9x9_0231,9,41,0.44,1,-0.0693
438,train_9x9_0121,9,500,-13.02,0,-0.0693
439,train_9x9_0131,9,380,-8.97,1,-0.0693
440,train_9x9_0332,9,378,-8.4,1,-0.0693
441,train_9x9_0428,9,179,-3.17,1,-0.0693
442,train_9x9_0437,9,100,-1.38,1,-0.0693
443,train_9x9_0117,9,500,-14.41,0,-0.0693
444,train_9x9_0432,9,500,-12.61,0,-0.0693
445,train_9x9_0029,9,270,-5.87,1,-0.0693
446,train_9x9_0249,9,300,-6.06,1,-0.0693
447,train_9x9_0400,9,500,-13.42,0,-0.0693
448,train_9x9_0179,9,322,-6.68,1,-0.0693
449,train_9x9_0215,9,500,-13.32,0,-0.0693
450,train_9x9_0278,9,484,-11.78,1,-0.0693
451,train_9x9_0476,9,500,-13.21,0,-0.0693
452,train_9x9_0222,9,500,-14.21,0,-0.0693
453,train_9x9_0376,9,500,-14.16,0,-0.0693
454,train_9x9_0483,9,28,1.13,1,-0.0693
455,train_9x9_0096,9,500,-14.11,0,-0.0693
456,train_9x9_0182,9,495,-12.03,1,-0.0693
457,train_9x9_0303,9,500,-13.75,0,-0.0693
458,train_9x9_0033,9,500,-13.17,0,-0.0693
459,train_9x9_0095,9,186,-3.54,1,-0.0693
460,train_9x9_0022,9,207,-3.38,1,-0.0693
461,train_9x9_0214,9,500,-13.27,0,-0.0693
462,train_9x9_0409,9,481,-12.4,1,-0.0693
463,train_9x9_0159,9,500,-13.12,0,-0.0693
464,train_9x9_0236,9,260,-5.2,1,-0.0693
465,train_9x9_0392,9,500,-13.31,0,-0.0693
466,train_9x9_0484,9,275,-5.64,1,-0.0693
467,train_9x9_0169,9,500,-12.52,0,-0.0693
468,train_9x9_0200,9,379,-8.26,1,-0.0693
469,train_9x9_0123,9,164,-2.06,1,-0.0693
470,train_9x9_0012,9,500,-14.38,0,-0.0693
471,train_9x9_0153,9,403,-9.62,1,-0.0693
472,train_9x9_0041,9,500,-13.96,0,-0.0693
473,train_9x9_0439,9,364,-8.05,1,-0.0693
474,train_9x9_0377,9,500,-13.97,0,-0.0693
475,train_9x9_0415,9,500,-13.85,0,-0.0693
476,train_9x9_0110,9,116,-0.98,1,-0.0693
477,train_9x9_0346,9,500,-14.24,0,-0.0693
478,train_9x9_0452,9,500,-13.71,0,-0.0693
479,train_9x9_0110,9,49,1.01,1,-0.0693
480,train_9x9_0231,9,312,-6.68,1,-0.0693
481,train_9x9_0217,9,500,-12.68,0,-0.0693
482,train_9x9_0330,9,166,-1.97,1,-0.0693
483,train_9x9_0020,9,210,-3.28,1,-0.0693
484,train_9x9_0342,9,176,-2.1,1,-0.0693
485,train_9x9_0257,9,500,-14.0,0,-0.0693
486,train_9x9_0082,9,163,-1.91,1,-0.0693
487,train_9x9_0328,9,221,-3.85,1,-0.0693
488,train_9x9_0294,9,85,0.35,1,-0.0693
489,train_9x9_0076,9,464,-10.52,1,-0.0693
490,train_9x9_0030,9,90,-0.85,1,-0.0693
491,train_9x9_0216,9,500,-13.57,0,-0.0693
492,train_9x9_0179,9,500,-13.71,0,-0.0693
493,train_9x9_0267,9,500,-13.0,0,-0.0693
494,train_9x9_0012,9,485,-12.11,1,-0.0693
