Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
365,train_9x9_0486,9,500,-13.37,0,-0.5311
366,train_9x9_0196,9,500,-12.84,0,-0.5084
367,train_9x9_0169,9,500,-13.57,0,-0.5338
368,train_9x9_0050,9,500,-13.66,0,-0.5074
369,train_9x9_0032,9,209,-3.55,1,1.7283
370,train_9x9_0060,9,500,-13.9,0,-0.5065
371,train_9x9_0181,9,232,-4.12,1,1.4537
372,train_9x9_0393,9,500,-14.06,0,-0.4769
373,train_9x9_0019,9,500,-14.63,0,-0.3817
374,train_9x9_0103,9,500,-14.36,0,-0.4007
375,train_9x9_0071,9,21,1.69,1,6.0745
376,train_9x9_0381,9,33,1.2,1,4.7527
377,train_9x9_0037,9,500,-13.95,0,-0.3536
378,train_9x9_0209,9,500,-14.03,0,-0.3497
379,train_9x9_0434,9,500,-13.76,0,-0.2308
380,train_9x9_0337,9,500,-14.07,0,-0.35
381,train_9x9_0424,9,500,-13.04,0,-0.2511
382,train_9x9_0237,9,500,-14.02,0,-0.3919
383,train_9x9_0318,9,500,-14.31,0,-0.3496
384,train_9x9_0262,9,222,-4.58,1,2.089
385,train_9x9_0412,9,500,-13.16,0,-0.3024
386,train_9x9_0220,9,500,-14.08,0,-0.2414
387,train_9x9_0356,9,500,-13.55,0,-0.2503
388,train_9x9_0090,9,500,-14.12,0,-0.3091
389,train_9x9_0004,9,30,1.63,1,5.801
390,train_9x9_0146,9,44,0.12,1,5.709
391,train_9x9_0143,9,500,-13.51,0,-0.2892
392,train_9x9_0109,9,500,-14.34,0,-0.2651
393,train_9x9_0176,9,482,-10.89,1,0.7006
394,train_9x9_0494,9,293,-5.91,1,1.6519
395,train_9x9_0252,9,423,-9.8,1,0.7763
396,train_9x9_0413,9,500,-14.19,0,-0.3335
397,train_9x9_0424,9,500,-14.1,0,-0.3203
398,train_9x9_0269,9,223,-4.02,1,1.3252
399,train_9x9_0116,9,174,-2.87,1,2.5117
400,train_9x9_0078,9,12,1.85,1,4.4583
401,train_9x9_0089,9,500,-13.64,0,-0.1861
402,train_9x9_0421,9,500,-12.99,0,-0.3741
403,train_9x9_0131,9,500,-13.47,0,-0.4166
404,train_9x9_0307,9,24,1.47,1,5.1854
405,train_9x9_0182,9,465,-11.14,1,0.1161
406,train_9x9_0245,9,500,-13.17,0,-0.3412
407,train_9x9_0463,9,500,-14.2,0,-0.4563
408,train_9x9_0273,9,112,-0.69,1,3.0437
